<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ2,1,20121008,105900,148540.00000,148550.00000,148460.00000,148540.00000,3774
RIZ2,1,20121008,110000,148530.00000,148550.00000,148410.00000,148510.00000,4894
RIZ2,1,20121008,110100,148510.00000,148510.00000,148410.00000,148430.00000,1325
RIZ2,1,20121008,110200,148430.00000,148480.00000,148340.00000,148440.00000,5080
RIZ2,1,20121008,110300,148420.00000,148480.00000,148370.00000,148420.00000,2140
RIZ2,1,20121008,110400,148430.00000,148440.00000,148330.00000,148410.00000,2431
RIZ2,1,20121008,110500,148420.00000,148510.00000,148400.00000,148440.00000,2048
RIZ2,1,20121008,110600,148440.00000,148530.00000,148390.00000,148400.00000,2193
RIZ2,1,20121008,110700,148420.00000,148450.00000,148360.00000,148410.00000,1774
RIZ2,1,20121008,110800,148420.00000,148470.00000,148350.00000,148390.00000,1771
RIZ2,1,20121008,110900,148390.00000,148440.00000,148220.00000,148290.00000,5179
RIZ2,1,20121008,111000,148280.00000,148290.00000,148020.00000,148130.00000,10055
RIZ2,1,20121008,111100,148140.00000,148250.00000,148110.00000,148220.00000,1806
RIZ2,1,20121008,111200,148220.00000,148310.00000,148200.00000,148300.00000,1281
RIZ2,1,20121008,111300,148300.00000,148300.00000,148190.00000,148230.00000,1706
RIZ2,1,20121008,111400,148230.00000,148230.00000,148140.00000,148140.00000,2744
RIZ2,1,20121008,111500,148150.00000,148270.00000,148110.00000,148220.00000,4496
RIZ2,1,20121008,111600,148210.00000,148210.00000,148040.00000,148080.00000,2247
RIZ2,1,20121008,111700,148070.00000,148090.00000,147890.00000,147940.00000,8577
RIZ2,1,20121008,111800,147930.00000,147980.00000,147880.00000,147900.00000,3762
RIZ2,1,20121008,111900,147880.00000,147980.00000,147860.00000,147930.00000,2869
RIZ2,1,20121008,112000,147930.00000,147980.00000,147830.00000,147940.00000,3800
RIZ2,1,20121008,112100,147940.00000,148020.00000,147920.00000,148020.00000,1642
RIZ2,1,20121008,112200,148020.00000,148070.00000,148000.00000,148040.00000,1710
RIZ2,1,20121008,112300,148040.00000,148060.00000,147960.00000,147960.00000,1514
RIZ2,1,20121008,112400,147960.00000,147970.00000,147850.00000,147850.00000,2529
RIZ2,1,20121008,112500,147870.00000,147880.00000,147770.00000,147820.00000,3532
RIZ2,1,20121008,112600,147820.00000,147930.00000,147790.00000,147890.00000,1858
RIZ2,1,20121008,112700,147900.00000,147910.00000,147830.00000,147860.00000,1135
RIZ2,1,20121008,112800,147860.00000,147860.00000,147790.00000,147810.00000,1720
RIZ2,1,20121008,112900,147810.00000,147840.00000,147620.00000,147660.00000,6975
RIZ2,1,20121008,113000,147660.00000,147680.00000,147570.00000,147670.00000,5694
RIZ2,1,20121008,113100,147670.00000,147750.00000,147650.00000,147720.00000,2157
RIZ2,1,20121008,113200,147730.00000,147830.00000,147710.00000,147810.00000,2531
RIZ2,1,20121008,113300,147810.00000,147810.00000,147660.00000,147690.00000,1935
RIZ2,1,20121008,113400,147690.00000,147730.00000,147610.00000,147690.00000,2435
RIZ2,1,20121008,113500,147690.00000,147900.00000,147680.00000,147870.00000,3558
RIZ2,1,20121008,113600,147860.00000,147990.00000,147850.00000,147980.00000,2714
RIZ2,1,20121008,113700,147980.00000,147980.00000,147890.00000,147930.00000,1176
RIZ2,1,20121008,113800,147940.00000,147940.00000,147870.00000,147870.00000,538
RIZ2,1,20121008,113900,147870.00000,147910.00000,147800.00000,147900.00000,1127
RIZ2,1,20121008,114000,147900.00000,147910.00000,147850.00000,147850.00000,489
RIZ2,1,20121008,114100,147850.00000,147970.00000,147850.00000,147940.00000,1271
RIZ2,1,20121008,114200,147940.00000,147970.00000,147900.00000,147950.00000,809
RIZ2,1,20121008,114300,147960.00000,147960.00000,147900.00000,147960.00000,1146
RIZ2,1,20121008,114400,147960.00000,147980.00000,147920.00000,147960.00000,1040
RIZ2,1,20121008,114500,147960.00000,148000.00000,147940.00000,147970.00000,1845
RIZ2,1,20121008,114600,147990.00000,148040.00000,147940.00000,148030.00000,1437
RIZ2,1,20121008,114700,148040.00000,148070.00000,148000.00000,148040.00000,1581
RIZ2,1,20121008,114800,148050.00000,148050.00000,147980.00000,147990.00000,1591
RIZ2,1,20121008,114900,147990.00000,148030.00000,147940.00000,148000.00000,1698
RIZ2,1,20121008,115000,148000.00000,148030.00000,147870.00000,147890.00000,2294
RIZ2,1,20121008,115100,147890.00000,147930.00000,147840.00000,147900.00000,1168
RIZ2,1,20121008,115200,147900.00000,147930.00000,147880.00000,147900.00000,733
RIZ2,1,20121008,115300,147900.00000,147920.00000,147840.00000,147850.00000,867
RIZ2,1,20121008,115400,147840.00000,147910.00000,147810.00000,147880.00000,1541
RIZ2,1,20121008,115500,147850.00000,147880.00000,147760.00000,147780.00000,2976
RIZ2,1,20121008,115600,147770.00000,147800.00000,147670.00000,147680.00000,3463
RIZ2,1,20121008,115700,147690.00000,147750.00000,147650.00000,147690.00000,2467
RIZ2,1,20121008,115800,147700.00000,147840.00000,147700.00000,147820.00000,1738
RIZ2,1,20121008,115900,147820.00000,147850.00000,147670.00000,147680.00000,3344
RIZ2,1,20121008,120000,147680.00000,147700.00000,147600.00000,147650.00000,4604
RIZ2,1,20121008,120100,147640.00000,147750.00000,147620.00000,147650.00000,2251
RIZ2,1,20121008,120200,147660.00000,147690.00000,147510.00000,147670.00000,4242
RIZ2,1,20121008,120300,147670.00000,147710.00000,147580.00000,147690.00000,1511
RIZ2,1,20121008,120400,147690.00000,147820.00000,147670.00000,147820.00000,2377
RIZ2,1,20121008,120500,147820.00000,147970.00000,147810.00000,147910.00000,2628
RIZ2,1,20121008,120600,147910.00000,147920.00000,147850.00000,147850.00000,729
RIZ2,1,20121008,120700,147860.00000,147890.00000,147830.00000,147880.00000,643
RIZ2,1,20121008,120800,147870.00000,147930.00000,147860.00000,147920.00000,719
RIZ2,1,20121008,120900,147930.00000,147930.00000,147800.00000,147830.00000,1125
RIZ2,1,20121008,121000,147830.00000,147890.00000,147820.00000,147840.00000,907
RIZ2,1,20121008,121100,147830.00000,147840.00000,147760.00000,147800.00000,1095
RIZ2,1,20121008,121200,147800.00000,147860.00000,147780.00000,147860.00000,401
RIZ2,1,20121008,121300,147860.00000,147970.00000,147840.00000,147910.00000,1536
RIZ2,1,20121008,121400,147910.00000,147930.00000,147850.00000,147910.00000,849
RIZ2,1,20121008,121500,147910.00000,147950.00000,147870.00000,147910.00000,1513
RIZ2,1,20121008,121600,147910.00000,147970.00000,147900.00000,147950.00000,571
RIZ2,1,20121008,121700,147950.00000,147970.00000,147930.00000,147970.00000,838
RIZ2,1,20121008,121800,147950.00000,147960.00000,147880.00000,147900.00000,759
RIZ2,1,20121008,121900,147910.00000,147910.00000,147870.00000,147870.00000,198
RIZ2,1,20121008,122000,147880.00000,147890.00000,147860.00000,147870.00000,301
RIZ2,1,20121008,122100,147880.00000,147890.00000,147870.00000,147870.00000,115
RIZ2,1,20121008,122200,147870.00000,147910.00000,147860.00000,147900.00000,296
RIZ2,1,20121008,122300,147900.00000,147900.00000,147790.00000,147820.00000,1603
RIZ2,1,20121008,122400,147820.00000,147850.00000,147780.00000,147810.00000,766
RIZ2,1,20121008,122500,147800.00000,147820.00000,147670.00000,147720.00000,2580
RIZ2,1,20121008,122600,147730.00000,147800.00000,147710.00000,147800.00000,568
RIZ2,1,20121008,122700,147800.00000,147810.00000,147740.00000,147780.00000,966
RIZ2,1,20121008,122800,147790.00000,147830.00000,147760.00000,147800.00000,1257
RIZ2,1,20121008,122900,147820.00000,147830.00000,147750.00000,147800.00000,1061
RIZ2,1,20121008,123000,147800.00000,147820.00000,147680.00000,147680.00000,1614
RIZ2,1,20121008,123100,147680.00000,147680.00000,147620.00000,147660.00000,1266
RIZ2,1,20121008,123200,147650.00000,147730.00000,147650.00000,147730.00000,856
RIZ2,1,20121008,123300,147730.00000,147740.00000,147580.00000,147580.00000,1487
RIZ2,1,20121008,123400,147590.00000,147670.00000,147560.00000,147570.00000,2048
RIZ2,1,20121008,123500,147580.00000,147630.00000,147530.00000,147570.00000,1991
RIZ2,1,20121008,123600,147570.00000,147590.00000,147500.00000,147590.00000,2506
RIZ2,1,20121008,123700,147580.00000,147640.00000,147510.00000,147520.00000,1223
RIZ2,1,20121008,123800,147520.00000,147520.00000,147360.00000,147480.00000,5923
RIZ2,1,20121008,123900,147470.00000,147580.00000,147460.00000,147580.00000,1990
RIZ2,1,20121008,124000,147570.00000,147590.00000,147520.00000,147550.00000,1422
RIZ2,1,20121008,124100,147550.00000,147670.00000,147540.00000,147670.00000,1514
RIZ2,1,20121008,124200,147650.00000,147700.00000,147650.00000,147700.00000,1339
RIZ2,1,20121008,124300,147700.00000,147790.00000,147690.00000,147730.00000,1734
RIZ2,1,20121008,124400,147730.00000,147750.00000,147670.00000,147700.00000,753
RIZ2,1,20121008,124500,147700.00000,147740.00000,147650.00000,147700.00000,765
RIZ2,1,20121008,124600,147700.00000,147820.00000,147690.00000,147820.00000,1364
RIZ2,1,20121008,124700,147800.00000,147870.00000,147770.00000,147850.00000,1582
RIZ2,1,20121008,124800,147850.00000,147850.00000,147780.00000,147820.00000,633
